Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"Houston, TX",November 2012,All Residential,Place/City,False,TX,0.966767467,0.1%,0.5%,2157,-5.8%,27.9%,7890,-5.0%,-28.6%,53,0,-29,$154K,-0.8%,12.2%,2278,-13.2%,0.5%
"Houston, TX",December 2012,All Residential,Place/City,False,TX,0.968061563,0.1%,0.9%,2234,3.6%,13.6%,7213,-8.6%,-29.1%,56,3,-22,$165K,7.5%,10.1%,1823,-20.0%,-2.7%
"Galveston, TX",April 2013,All Residential,Place/City,False,TX,0.944408125,0.1%,-0.4%,105,41.9%,32.9%,614,-1.3%,-2.4%,66,-7,4,$195K,16.5%,32.2%,150,-3.8%,2.7%
"Pasadena, TX",January 2012,All Residential,Place/City,False,TX,0.976914720,1.1%,0.9%,47,-14.5%,-9.6%,389,-5.4%,-17.9%,81,-18,17,$90K,-17.5%,18.3%,84,68.0%,-20.0%
"Missouri City, TX",March 2012,All Residential,Place/City,False,TX,0.954146501,-1.2%,-0.4%,119,35.2%,32.2%,509,3.0%,-26.8%,79,-26,-27,$173K,-6.4%,-0.9%,193,25.3%,4.9%
"Houston, TX",July 2012,All Residential,Place/City,False,TX,0.970159848,-0.2%,1.2%,2640,-2.0%,23.1%,9820,-2.0%,-22.4%,46,2,-18,$155K,-2.4%,10.7%,3152,-9.3%,7.6%
"League City, TX",October 2012,All Residential,Place/City,False,TX,0.975544990,0.1%,,144,5.9%,,532,-2.2%,,62,-7,,$187K,0.8%,,172,24.6%,
"Texas City, TX",October 2012,All Residential,Place/City,False,TX,0.913394868,-0.3%,,32,18.5%,,227,-1.3%,,69,-21,,$55K,-26.6%,,54,-1.8%,
"Baytown, TX",December 2012,All Residential,Place/City,False,TX,0.959293720,-0.8%,-1.2%,62,-6.1%,-19.5%,381,-2.3%,-8.6%,102,23,14,$118K,-9.7%,0.3%,61,-19.7%,-17.6%
"Missouri City, TX",May 2013,All Residential,Place/City,False,TX,0.971581032,0.3%,0.0%,175,23.2%,52.2%,450,4.9%,-17.0%,41,-15,-10,$201K,-7.4%,9.8%,245,29.6%,46.7%
"Houston, TX",July 2013,All Residential,Place/City,False,TX,0.981197177,-0.1%,1.1%,3083,8.4%,16.8%,7186,1.8%,-26.8%,22,0,-24,$180K,-0.1%,16.0%,3723,1.4%,18.1%
"Friendswood, TX",September 2013,All Residential,Place/City,False,TX,0.971971791,-0.3%,1.4%,61,-34.4%,-3.2%,192,-3.5%,-24.4%,38,1,-16,$190K,-15.9%,5.6%,70,-24.7%,2.9%
"La Porte, TX",October 2013,All Residential,Place/City,False,TX,0.970577786,-0.7%,0.5%,27,-25.0%,-18.2%,154,4.1%,8.5%,46,16,-28,$140K,13.0%,19.0%,45,40.6%,40.6%
"League City, TX",September 2014,All Residential,Place/City,False,TX,0.973479367,-0.8%,-0.4%,184,-18.6%,17.9%,432,-5.1%,-13.1%,28,3,-14,$213K,-3.2%,10.8%,168,-23.6%,-8.7%
"Houston, TX",September 2014,All Residential,Place/City,False,TX,0.980116154,-0.3%,0.1%,2654,-6.6%,5.4%,6545,-2.9%,-9.8%,23,4,-5,$180K,-3.3%,5.2%,2917,-15.2%,-1.9%
"Friendswood, TX",October 2014,All Residential,Place/City,False,TX,0.972814351,0.3%,0.9%,75,36.4%,10.3%,138,-8.0%,-23.3%,31,5,-18,$207K,16.9%,-4.8%,60,5.3%,9.1%
"Texas City, TX",December 2014,All Residential,Place/City,False,TX,0.949860650,-0.7%,1.4%,40,33.3%,17.6%,138,-8.6%,-24.2%,51,12,-40,$100K,-4.3%,-13.8%,34,-17.1%,36.0%
"Galveston, TX",February 2015,All Residential,Place/City,False,TX,0.957579063,0.1%,0.9%,81,62.0%,-3.6%,574,6.7%,-5.4%,94,8,-38,$169K,-2.6%,0.3%,151,3.4%,7.1%
"League City, TX",April 2015,All Residential,Place/City,False,TX,0.975655934,-0.2%,-0.4%,188,4.4%,1.6%,352,3.5%,-10.7%,32,6,6,$242K,3.6%,19.0%,216,11.3%,-10.7%
"Friendswood, TX",October 2015,All Residential,Place/City,False,TX,0.982812698,-0.2%,1.0%,74,10.4%,-1.3%,146,-5.2%,5.8%,18,5,-13,$220K,14.6%,6.3%,66,-26.7%,10.0%
"La Porte, TX",October 2015,All Residential,Place/City,False,TX,0.951266375,-2.7%,-1.8%,35,-30.0%,-36.4%,79,-13.2%,-16.8%,20,9,-10,$130K,-16.1%,-0.8%,50,4.2%,42.9%
"Missouri City, TX",November 2015,All Residential,Place/City,False,TX,0.966534569,-0.8%,-0.3%,100,-20.0%,-19.4%,363,-7.2%,23.1%,36,3,1,$225K,-2.0%,-7.2%,117,-29.1%,31.5%
"Pasadena, TX",March 2016,All Residential,Place/City,False,TX,0.974850025,0.3%,0.4%,92,39.4%,8.2%,151,-13.7%,-3.2%,35,-12,0,$139K,6.9%,20.4%,99,10.0%,-10.0%
"League City, TX",March 2016,All Residential,Place/City,False,TX,0.984577290,0.9%,0.7%,168,32.3%,-6.7%,402,4.1%,18.2%,25,-15,-1,$244K,4.1%,4.7%,219,17.1%,12.9%
"Missouri City, TX",September 2016,All Residential,Place/City,False,TX,0.975616155,0.5%,-0.1%,143,-8.3%,10.0%,496,-5.3%,25.3%,35,3,9,$233K,-5.2%,-8.4%,138,-27.4%,-0.7%
"Pasadena, TX",November 2016,All Residential,Place/City,False,TX,0.970220442,-0.6%,-1.0%,69,-14.8%,15.0%,178,-3.8%,-7.8%,23,-2,1,$143K,2.1%,19.4%,85,-19.0%,9.0%
"La Porte, TX",March 2017,All Residential,Place/City,False,TX,0.962846315,-1.1%,-3.0%,41,32.3%,36.7%,56,-13.8%,-16.4%,25,-21,17,$168K,5.0%,8.3%,46,-2.1%,0.0%
"La Porte, TX",July 2017,All Residential,Place/City,False,TX,0.986656243,0.7%,0.8%,46,2.2%,-4.2%,94,19.0%,32.4%,19,4,-2,$180K,6.5%,9.3%,61,-4.7%,-12.9%
"Pasadena, TX",March 2018,All Residential,Place/City,False,TX,0.970357232,-0.6%,-0.6%,73,19.7%,-26.3%,128,12.3%,-22.9%,13,-16,-6,$170K,10.0%,21.4%,123,59.7%,10.8%
"Galveston, TX",June 2019,All Residential,Place/City,False,TX,0.954093994,-0.6%,-1.1%,133,-13.1%,-14.2%,615,1.0%,-5.1%,54,8,20,$226K,2.4%,-7.8%,180,-0.6%,-6.7%
"Baytown, TX",October 2019,All Residential,Place/City,False,TX,0.973482583,0.3%,0.8%,110,7.8%,17.0%,332,1.2%,7.8%,33,1,-5,$203K,4.7%,9.5%,131,10.1%,13.9%
"Galveston, TX",October 2019,All Residential,Place/City,False,TX,0.961607809,0.5%,1.2%,96,-17.2%,-11.9%,567,-2.9%,-1.9%,60,5,-19,$244K,3.8%,-7.9%,145,14.2%,2.1%
"Pasadena, TX",November 2019,All Residential,Place/City,False,TX,0.975517850,-0.4%,0.7%,84,-10.6%,37.7%,216,9.1%,1.9%,25,3,6,$173K,-1.1%,-0.6%,101,-1.9%,18.8%
"Friendswood, TX",December 2019,All Residential,Place/City,False,TX,0.976305697,0.0%,0.4%,57,-24.0%,-6.6%,131,-12.1%,-37.9%,59,19,13,$270K,0.0%,5.8%,38,-24.0%,11.8%
"Pasadena, TX",February 2020,All Residential,Place/City,False,TX,0.982019344,1.1%,-0.3%,80,31.1%,8.1%,202,3.1%,1.5%,42,2,18,$173K,2.3%,0.8%,104,23.8%,19.5%
"Houston, TX",February 2020,All Residential,Place/City,False,TX,0.968842385,0.1%,0.0%,2192,24.1%,9.0%,9742,3.6%,1.0%,55,-3,5,$234K,11.2%,11.2%,3679,6.4%,9.1%
"Houston, TX",March 2020,All Residential,Place/City,False,TX,0.973042622,0.4%,0.2%,2633,20.1%,0.6%,10052,3.2%,0.3%,45,-10,0,$240K,2.8%,5.9%,3761,2.2%,-8.9%
"Baytown, TX",May 2020,All Residential,Place/City,False,TX,0.980074451,0.2%,0.2%,96,11.6%,-14.3%,355,5.0%,22.4%,41,-2,13,$214K,4.8%,12.6%,172,38.7%,13.9%
"Friendswood, TX",July 2020,All Residential,Place/City,False,TX,0.985863470,0.1%,0.1%,106,55.9%,17.8%,131,5.6%,-39.9%,12,-3,-6,$334K,7.7%,23.9%,111,5.7%,2.8%
"Missouri City, TX",August 2020,All Residential,Place/City,False,TX,0.976792859,0.1%,0.6%,182,-18.4%,-5.2%,270,-19.4%,-56.2%,41,-3,-6,$275K,-3.5%,4.7%,188,-4.6%,-5.1%
"Galveston, TX",February 2012,All Residential,Place/City,False,TX,0.906986794,-1.9%,-4.7%,55,57.1%,2650.0%,586,5.8%,15.8%,90,-17,-63,$168K,57.0%,19.4%,154,20.3%,87.8%
"Missouri City, TX",May 2012,All Residential,Place/City,False,TX,0.971523295,0.6%,0.6%,115,0.0%,3.6%,542,-2.3%,-24.6%,51,-4,-31,$183K,5.9%,12.3%,167,-16.9%,-8.7%
"Missouri City, TX",February 2013,All Residential,Place/City,False,TX,0.962868102,0.6%,-0.3%,95,-1.0%,8.0%,436,1.4%,-11.7%,81,0,-24,$165K,3.6%,-10.8%,173,11.6%,12.3%
"Friendswood, TX",May 2013,All Residential,Place/City,False,TX,0.975051181,0.4%,1.1%,96,29.7%,15.7%,224,-1.8%,-23.8%,43,-11,-82,$189K,-2.2%,-14.1%,105,5.0%,1.0%
"Missouri City, TX",January 2014,All Residential,Place/City,False,TX,0.976787551,0.8%,2.0%,106,-8.6%,10.4%,358,2.6%,-16.7%,46,7,-35,$189K,-17.3%,18.9%,145,34.3%,-6.5%
"Sugar Land, TX",February 2014,All Residential,Place/City,False,TX,0.970045274,-0.5%,1.3%,129,17.3%,-3.7%,302,0.7%,-22.4%,29,0,-34,$280K,-5.6%,22.1%,185,6.9%,1.6%
"League City, TX",February 2015,All Residential,Place/City,False,TX,0.978563327,-0.3%,0.8%,137,26.9%,-5.5%,368,0.8%,-10.9%,48,11,-5,$228K,4.7%,8.6%,183,10.9%,-7.1%
"Friendswood, TX",June 2015,All Residential,Place/City,False,TX,0.987555339,0.7%,0.7%,84,29.2%,-5.6%,132,5.6%,-23.7%,7,-5,-7,$226K,14.5%,-5.5%,100,8.7%,-11.5%
"Texas City, TX",June 2015,All Residential,Place/City,False,TX,0.945620623,-4.2%,0.8%,36,-12.2%,-23.4%,145,2.8%,-4.6%,25,9,-6,$126K,-3.4%,42.3%,59,7.3%,-9.2%
"Missouri City, TX",July 2015,All Residential,Place/City,False,TX,0.980038742,-0.8%,-0.4%,150,-19.8%,-8.0%,392,9.2%,1.6%,20,6,-2,$260K,9.5%,6.1%,208,2.0%,8.3%
"Texas City, TX",January 2016,All Residential,Place/City,False,TX,0.964116100,-0.9%,1.0%,37,-7.5%,12.1%,113,13.0%,-8.9%,32,-12,-27,$124K,9.3%,52.1%,54,80.0%,22.7%
"Sugar Land, TX",September 2016,All Residential,Place/City,False,TX,0.969302454,-0.5%,-0.3%,162,-22.1%,-12.9%,673,-4.8%,21.7%,37,9,2,$286K,-6.5%,-14.3%,177,-18.8%,-16.1%
"La Porte, TX",January 2017,All Residential,Place/City,False,TX,0.957110105,-1.4%,-2.1%,42,23.5%,44.8%,56,0.0%,-11.1%,29,7,-1,$171K,2.1%,22.1%,38,26.7%,-7.3%
"Texas City, TX",April 2017,All Residential,Place/City,False,TX,0.966260801,-1.1%,2.6%,46,9.5%,-14.8%,123,3.4%,10.8%,25,-8,-7,$122K,-18.7%,12.1%,68,-1.4%,-5.6%
"La Porte, TX",August 2017,All Residential,Place/City,False,TX,0.970377814,-1.6%,-0.3%,36,-21.7%,-35.7%,82,-12.8%,18.8%,13,-6,-6,$179K,-0.6%,11.2%,33,-45.9%,-36.5%
"Friendswood, TX",January 2018,All Residential,Place/City,False,TX,0.959473542,-1.5%,-1.3%,46,-22.0%,43.8%,163,0.6%,-4.1%,18,-20,-15,$227K,-11.5%,2.3%,90,83.7%,20.0%
"Texas City, TX",January 2018,All Residential,Place/City,False,TX,0.960549778,-0.9%,-1.7%,47,-27.7%,62.1%,196,9.5%,47.4%,81,30,52,$154K,-14.4%,10.8%,77,35.1%,26.2%
"League City, TX",February 2018,All Residential,Place/City,False,TX,0.975343109,-0.4%,-0.8%,134,30.1%,7.2%,317,-4.2%,-14.1%,59,27,22,$267K,0.7%,8.9%,158,-6.0%,-17.3%
"La Porte, TX",March 2018,All Residential,Place/City,False,TX,0.982788671,-0.3%,2.0%,35,-10.3%,-14.6%,41,-4.7%,-26.8%,16,-2,-9,$175K,6.7%,4.2%,39,8.3%,-15.2%
"Friendswood, TX",March 2018,All Residential,Place/City,False,TX,0.982624040,1.0%,0.5%,68,-2.9%,-10.5%,165,9.3%,5.8%,13,-37,-3,$244K,14.2%,3.1%,130,71.1%,39.8%
"League City, TX",May 2018,All Residential,Place/City,False,TX,0.981895286,0.1%,-0.4%,211,19.9%,-1.4%,442,17.9%,13.3%,14,-6,-9,$265K,2.1%,3.9%,289,5.9%,12.5%
"Galveston, TX",June 2018,All Residential,Place/City,False,TX,0.965238611,1.3%,2.1%,155,9.9%,4.7%,648,3.7%,0.6%,34,-7,-20,$245K,25.6%,21.0%,193,2.7%,18.4%
"Houston, TX",September 2018,All Residential,Place/City,False,TX,0.970291080,-0.1%,0.2%,2426,-22.0%,-5.6%,10513,-0.9%,8.7%,34,4,-5,$215K,-1.1%,1.3%,3194,-18.6%,15.9%
"Pasadena, TX",January 2019,All Residential,Place/City,False,TX,0.970305017,-0.7%,0.2%,59,-24.4%,15.7%,212,-1.9%,73.8%,40,12,22,$157K,-6.6%,0.0%,96,60.0%,41.2%
"League City, TX",May 2019,All Residential,Place/City,False,TX,0.987201369,0.4%,0.5%,212,14.6%,0.5%,499,9.0%,12.9%,33,3,19,$270K,2.4%,1.9%,276,13.6%,-4.5%
"Pasadena, TX",December 2019,All Residential,Place/City,False,TX,0.979365421,0.4%,0.2%,95,13.1%,21.8%,200,-7.4%,-7.4%,31,6,3,$189K,9.2%,12.5%,79,-21.8%,31.7%
"Galveston, TX",December 2019,All Residential,Place/City,False,TX,0.955696382,0.5%,-0.2%,118,16.8%,43.9%,520,-5.3%,3.4%,61,-5,-15,$264K,2.1%,31.5%,88,-24.1%,-1.1%
"Missouri City, TX",January 2020,All Residential,Place/City,False,TX,0.968448474,-0.3%,-0.3%,122,-29.5%,35.6%,469,-3.1%,-18.0%,55,4,3,$234K,-3.8%,0.1%,156,9.9%,-2.5%
"Houston, TX",April 2020,All Residential,Place/City,False,TX,0.974213815,0.1%,0.1%,2040,-22.5%,-28.1%,10008,-0.4%,-3.4%,36,-9,1,$237K,-1.3%,3.0%,2810,-25.3%,-35.9%
"Texas City, TX",August 2020,All Residential,Place/City,False,TX,0.977728549,-0.5%,0.9%,68,-37.0%,3.0%,212,4.4%,-13.1%,50,-9,1,$206K,-6.4%,15.3%,112,21.7%,13.1%
"Sugar Land, TX",March 2012,All Residential,Place/City,False,TX,0.956624860,0.5%,1.0%,130,15.0%,-10.3%,613,8.9%,-26.3%,66,-22,-30,$256K,16.6%,0.4%,283,54.6%,3.3%
"Baytown, TX",August 2012,All Residential,Place/City,False,TX,0.967784257,-1.4%,1.1%,88,4.8%,39.7%,431,-2.5%,-14.5%,70,1,-27,$115K,-4.2%,9.5%,100,-9.1%,-13.8%
"Texas City, TX",December 2012,All Residential,Place/City,False,TX,0.929240122,-1.3%,-2.3%,32,-3.0%,3100.0%,208,-6.3%,-4.6%,60,-24,54,$90K,-6.5%,52.8%,31,-32.6%,6.9%
"League City, TX",February 2013,All Residential,Place/City,False,TX,0.964802813,-0.7%,-0.6%,109,25.3%,-11.4%,476,0.0%,-17.8%,70,11,-23,$202K,18.1%,26.3%,193,24.5%,10.9%
"Galveston, TX",March 2013,All Residential,Place/City,False,TX,0.943386297,-0.2%,3.6%,74,21.3%,27.6%,622,3.5%,-1.1%,73,-25,-7,$167K,3.4%,24.0%,156,10.6%,-8.2%
"Baytown, TX",October 2013,All Residential,Place/City,False,TX,0.965858120,-0.1%,0.2%,71,-5.3%,-19.3%,366,0.0%,-10.9%,71,24,-17,$130K,3.9%,9.2%,110,2.8%,4.8%
"Missouri City, TX",April 2014,All Residential,Place/City,False,TX,0.977291731,0.4%,0.8%,158,16.2%,11.3%,333,-5.9%,-22.4%,31,5,-25,$221K,2.2%,1.9%,180,-2.2%,-4.8%
"League City, TX",May 2014,All Residential,Place/City,False,TX,0.983520700,0.4%,0.7%,172,-7.0%,-12.2%,416,5.6%,-13.2%,24,-2,-15,$201K,-1.2%,8.6%,252,4.1%,1.6%
"Missouri City, TX",November 2014,All Residential,Place/City,False,TX,0.969785792,0.3%,-0.6%,124,-19.5%,7.8%,295,-13.0%,-18.1%,35,3,-12,$242K,12.7%,14.6%,89,-36.4%,-27.0%
"La Porte, TX",February 2015,All Residential,Place/City,False,TX,0.958148517,-0.4%,-2.6%,33,50.0%,10.0%,65,8.3%,-44.9%,72,45,2,$167K,41.2%,34.7%,30,25.0%,-6.3%
"Friendswood, TX",April 2015,All Residential,Place/City,False,TX,0.966938295,-0.8%,-1.1%,64,6.7%,-12.3%,110,13.4%,-30.4%,14,-1,-7,$230K,10.2%,0.0%,87,22.5%,-15.5%
"Sugar Land, TX",May 2015,All Residential,Place/City,False,TX,0.981072685,-0.3%,-0.6%,196,32.4%,2.6%,484,11.0%,41.5%,16,-3,2,$325K,2.3%,3.1%,309,7.3%,-0.3%
"Sugar Land, TX",June 2015,All Residential,Place/City,False,TX,0.976725602,-0.4%,-1.3%,244,24.5%,-5.1%,549,13.4%,40.8%,15,-1,4,$329K,1.4%,1.3%,325,5.2%,12.5%
"La Porte, TX",January 2016,All Residential,Place/City,False,TX,0.977977413,0.9%,1.6%,29,-25.6%,31.8%,63,-14.9%,5.0%,30,-11,3,$140K,2.6%,18.4%,41,95.2%,70.8%
"Missouri City, TX",January 2016,All Residential,Place/City,False,TX,0.969431294,-0.4%,-0.9%,92,-36.1%,-3.2%,356,9.5%,21.5%,47,9,5,$227K,-5.8%,1.5%,171,74.5%,4.9%
"Baytown, TX",March 2016,All Residential,Place/City,False,TX,0.982592679,1.7%,0.5%,121,57.1%,21.0%,269,5.5%,25.7%,40,-8,-11,$164K,10.6%,3.6%,137,13.2%,20.2%
"Sugar Land, TX",March 2016,All Residential,Place/City,False,TX,0.968896685,0.1%,-1.1%,160,36.8%,-17.1%,565,6.6%,40.2%,36,-9,21,$296K,11.7%,-7.5%,263,37.7%,9.6%
"Pasadena, TX",April 2016,All Residential,Place/City,False,TX,0.985618001,1.1%,0.2%,87,-5.4%,-13.9%,164,8.6%,0.0%,15,-20,-1,$136K,-2.2%,4.3%,128,29.3%,5.8%
"Missouri City, TX",July 2016,All Residential,Place/City,False,TX,0.972868178,-0.7%,-0.7%,125,-24.2%,-16.7%,514,12.0%,31.1%,17,-4,-3,$233K,-2.9%,-10.4%,234,17.6%,12.5%
"Friendswood, TX",August 2016,All Residential,Place/City,False,TX,0.980332985,-0.8%,-0.5%,89,14.1%,29.0%,194,-3.5%,30.2%,14,3,3,$238K,-9.1%,-0.4%,85,-19.8%,10.4%
"Galveston, TX",January 2017,All Residential,Place/City,False,TX,0.954577871,-0.4%,1.8%,61,-28.2%,1.7%,584,9.0%,17.7%,94,38,4,$188K,-6.0%,7.0%,171,147.8%,22.1%
"Baytown, TX",July 2017,All Residential,Place/City,False,TX,0.982028534,0.1%,-0.5%,103,-2.8%,-2.8%,319,22.2%,16.0%,16,-6,-5,$189K,3.8%,11.5%,180,19.2%,52.5%
"Sugar Land, TX",July 2017,All Residential,Place/City,False,TX,0.972099474,0.6%,-0.4%,203,-13.6%,-4.2%,898,9.5%,22.5%,31,5,3,$351K,1.7%,-3.5%,303,-8.7%,3.1%
"Houston, TX",December 2017,All Residential,Place/City,False,TX,0.965274965,-0.1%,-0.2%,2675,11.0%,-1.0%,8228,-9.4%,2.1%,44,-3,-1,$217K,4.2%,0.8%,2127,-25.8%,8.4%
"Texas City, TX",July 2018,All Residential,Place/City,False,TX,0.982897170,1.4%,-0.4%,85,9.0%,44.1%,226,6.1%,18.3%,28,0,20,$183K,7.8%,22.0%,86,-18.9%,0.0%
"Houston, TX",July 2018,All Residential,Place/City,False,TX,0.973495644,0.1%,-0.1%,2905,-9.7%,7.4%,10540,2.9%,-3.9%,29,2,1,$228K,0.0%,8.6%,4121,-1.3%,2.7%
"Pasadena, TX",October 2018,All Residential,Place/City,False,TX,0.968942628,-1.4%,-0.4%,86,1.2%,16.2%,220,0.5%,40.1%,18,0,-6,$154K,-6.4%,-5.4%,99,-9.2%,25.3%
"League City, TX",October 2018,All Residential,Place/City,False,TX,0.980836652,0.8%,-0.3%,172,4.2%,19.4%,479,-10.1%,13.2%,42,15,7,$270K,2.1%,-0.2%,167,10.6%,10.6%
"Pasadena, TX",December 2018,All Residential,Place/City,False,TX,0.977742668,0.9%,-0.4%,78,27.9%,-1.3%,216,1.9%,67.4%,28,9,7,$168K,-3.4%,5.0%,60,-29.4%,27.7%
"Missouri City, TX",December 2018,All Residential,Place/City,False,TX,0.963999383,-0.9%,-0.5%,151,24.8%,2.7%,561,-6.5%,19.9%,73,29,-7,$268K,16.8%,10.3%,115,-23.8%,6.5%
"Friendswood, TX",January 2019,All Residential,Place/City,False,TX,0.966368131,-0.6%,0.7%,44,-27.9%,-4.3%,206,-2.4%,26.4%,87,41,69,$272K,6.5%,19.9%,78,129.4%,-13.3%
"La Porte, TX",February 2019,All Residential,Place/City,False,TX,0.988631652,2.6%,0.2%,28,55.6%,-28.2%,84,6.3%,95.3%,19,-13,1,$184K,9.0%,12.2%,51,2.0%,41.7%
"Sugar Land, TX",August 2019,All Residential,Place/City,False,TX,0.963846128,-0.2%,0.0%,203,0.5%,-15.1%,835,-2.6%,5.7%,50,11,2,$313K,-7.1%,-4.4%,225,-25.2%,3.2%
"Missouri City, TX",November 2019,All Residential,Place/City,False,TX,0.972491209,0.2%,-0.1%,114,-34.5%,-5.8%,533,-6.8%,-11.2%,75,25,31,$240K,6.2%,4.6%,130,-29.7%,-13.9%
"Friendswood, TX",February 2020,All Residential,Place/City,False,TX,0.979508063,2.5%,1.1%,51,34.2%,2.0%,135,-1.5%,-33.5%,71,30,9,$280K,24.2%,14.3%,76,16.9%,20.6%
"Pasadena, TX",March 2020,All Residential,Place/City,False,TX,0.980627159,-0.1%,0.3%,72,-10.0%,-24.2%,214,5.9%,15.7%,21,-21,-9,$179K,3.8%,13.2%,95,-8.7%,-1.0%
"Texas City, TX",April 2020,All Residential,Place/City,False,TX,0.985072721,2.0%,1.7%,53,-10.2%,-26.4%,239,-8.4%,11.2%,64,11,13,$204K,8.1%,2.7%,71,-24.5%,-14.5%
"League City, TX",May 2020,All Residential,Place/City,False,TX,0.987614735,0.2%,0.0%,132,-10.2%,-37.7%,356,0.3%,-28.7%,27,10,-6,$266K,-5.2%,-1.6%,258,59.3%,-6.5%
"Galveston, TX",July 2020,All Residential,Place/City,False,TX,0.969187288,0.4%,0.6%,205,-7.7%,45.4%,352,-10.0%,-42.4%,75,16,22,$319K,12.7%,13.9%,167,3.7%,-5.1%
"Galveston, TX",January 2012,All Residential,Place/City,False,TX,0.925516903,,-3.6%,35,,1066.7%,554,,17.4%,107,,-183,$107K,,64.6%,128,,52.4%
"Houston, TX",May 2012,All Residential,Place/City,False,TX,0.969364624,0.1%,1.0%,2672,18.7%,21.7%,10059,-0.1%,-24.3%,44,-10,-21,$160K,5.9%,10.3%,3497,1.8%,5.2%
"Texas City, TX",July 2012,All Residential,Place/City,False,TX,0.947664931,5.8%,9.2%,31,3.3%,3000.0%,226,-3.4%,18.3%,88,23,-661,$91K,56.4%,-77.4%,51,-21.5%,50.0%
"Houston, TX",August 2012,All Residential,Place/City,False,TX,0.969679542,0.0%,0.9%,2753,4.3%,19.1%,9369,-4.6%,-22.6%,46,0,-24,$153K,-1.6%,7.1%,2965,-5.9%,-1.1%
"Galveston, TX",June 2013,All Residential,Place/City,False,TX,0.942283923,0.1%,0.9%,104,-2.8%,13.0%,621,0.6%,5.3%,109,51,20,$192K,22.4%,23.6%,136,-8.7%,23.6%
"Galveston, TX",August 2013,All Residential,Place/City,False,TX,0.944103557,-1.1%,-0.9%,118,11.3%,32.6%,616,6.0%,4.9%,73,-15,-6,$183K,6.8%,33.7%,161,54.8%,46.4%
"Sugar Land, TX",September 2013,All Residential,Place/City,False,TX,0.971043314,-0.5%,0.4%,179,-30.1%,25.2%,369,-3.9%,-36.6%,23,5,-23,$285K,3.6%,32.6%,186,-11.4%,-27.1%
"Texas City, TX",October 2013,All Residential,Place/City,False,TX,0.957749636,1.1%,4.4%,26,-10.3%,-18.8%,215,-0.9%,-5.3%,65,-7,-4,$71K,-18.0%,28.1%,53,6.0%,-1.9%
"Texas City, TX",July 2014,All Residential,Place/City,False,TX,0.932779486,-0.5%,-1.1%,40,-14.9%,14.3%,172,13.2%,-19.6%,49,18,-3,$70K,-21.8%,-17.3%,70,7.7%,32.1%
"Pasadena, TX",August 2014,All Residential,Place/City,False,TX,0.974156038,-0.9%,0.2%,100,5.3%,4.2%,224,-8.9%,-21.4%,19,-1,-35,$129K,2.8%,19.0%,93,-27.3%,-13.9%
"Friendswood, TX",August 2015,All Residential,Place/City,False,TX,0.984941362,-0.6%,0.2%,69,-19.8%,-18.8%,149,-3.9%,-14.9%,11,-3,-15,$239K,5.5%,-2.6%,77,-25.2%,-2.5%
"Houston, TX",October 2015,All Residential,Place/City,False,TX,0.972127660,-0.2%,-0.5%,2336,-10.6%,-14.3%,8706,0.8%,34.8%,33,6,7,$185K,-2.6%,1.6%,3197,-2.6%,3.5%
"Baytown, TX",May 2016,All Residential,Place/City,False,TX,0.980937592,-0.8%,0.1%,113,11.9%,36.1%,261,1.6%,16.0%,33,-2,2,$170K,4.6%,13.3%,120,0.8%,-5.5%
"Texas City, TX",December 2016,All Residential,Place/City,False,TX,0.986879823,-0.8%,1.4%,40,-9.1%,0.0%,113,8.7%,13.0%,18,5,-26,$149K,-0.7%,31.1%,35,-12.5%,16.7%
"Houston, TX",February 2017,All Residential,Place/City,False,TX,0.968248200,0.5%,-0.1%,2041,17.3%,9.0%,8440,3.2%,-1.8%,52,3,3,$206K,9.9%,12.3%,3392,2.7%,-3.7%
"La Porte, TX",February 2018,All Residential,Place/City,False,TX,0.986205897,0.8%,1.2%,39,77.3%,25.8%,43,-12.2%,-33.8%,18,-26,-28,$164K,-12.1%,2.6%,36,5.9%,-23.4%
"Friendswood, TX",September 2018,All Residential,Place/City,False,TX,0.981597549,0.8%,0.2%,80,9.6%,6.7%,265,-3.6%,39.5%,35,10,6,$257K,-9.6%,-6.4%,68,-37.0%,3.0%
"Texas City, TX",October 2018,All Residential,Place/City,False,TX,0.966497358,0.4%,-1.5%,69,6.2%,38.0%,242,3.0%,22.2%,34,-4,4,$170K,22.3%,36.0%,106,39.5%,41.3%
"Houston, TX",April 2019,All Residential,Place/City,False,TX,0.972850104,0.2%,0.2%,2838,8.5%,3.8%,10361,3.4%,10.9%,35,-10,7,$230K,1.5%,4.5%,4386,6.2%,1.4%
"Texas City, TX",July 2019,All Residential,Place/City,False,TX,0.975047595,-0.5%,-0.8%,55,-40.2%,-35.3%,235,13.0%,4.0%,28,-11,0,$187K,-0.5%,2.1%,89,6.0%,3.5%
